Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
45952,0,1,0,292,0,292,292,292.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,278,0,0.0,0.0,292,292,292.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,292.0,292.0,0.0,0,0,0,0,0,0,1,292,0,0,501,0,1,292,0,0,0,0,0,0,0,0
45952,0,1,1,292,78,292,292,292.0,0.0,78,78,78.0,0.0,50061047.741935484,270600.2580645161,7.3909759521484375e-06,0.0,0,0,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,278,64,135300.12903225806,135300.12903225806,78,292,185.0,0.0,0.0,0,0,0,1,2,0,0,0,1.0,185.0,292.0,78.0,0,0,0,0,0,0,1,292,1,78,501,625,1,292,0,0,0,0,0,0,0,0
0,0,1,0,82,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0,0,0,20,0,0.0,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,1,82,0,0,0,0,1,82,0,0,0,0,0,0,0,0
0,0,1,0,82,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0,0,0,20,0,0.0,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,1,82,0,0,0,0,1,82,0,0,0,0,0,0,0,0
0,2,2,0,164,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,81.9934316174928,0.9999198977743025,2.0001602172851562,0.0,2,2,2,2.0001602172851562,0.0,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,40,0,0.9999198977743025,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,2,164,0,0,0,0,2,82,0,0,0,0,0,0,0,0
0,2,2,0,164,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,81.99246404292856,0.9999080980844947,2.0001838207244873,0.0,2,2,2,2.0001838207244873,0.0,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,40,0,0.9999080980844947,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,2,164,0,0,0,0,2,82,0,0,0,0,0,0,0,0
45930,0,1,0,279,0,279,279,279.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,265,0,0.0,0.0,279,279,279.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,279.0,279.0,0.0,0,0,0,0,0,0,1,279,0,0,501,0,1,279,0,0,0,0,0,0,0,0
45930,0,1,1,279,66,279,279,279.0,0.0,66,66,66.0,0.0,28373232.94117647,164482.50980392157,1.2159347534179688e-05,0.0,0,0,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,265,52,82241.25490196078,82241.25490196078,66,279,172.5,0.0,0.0,0,0,0,1,2,0,0,0,1.0,172.5,279.0,66.0,0,0,0,0,0,0,1,279,1,66,501,627,1,279,0,0,0,0,0,0,0,0
45942,0,1,0,276,0,276,276,276.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,262,0,0.0,0.0,276,276,276.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,276.0,276.0,0.0,0,0,0,0,0,0,1,276,0,0,501,0,1,276,0,0,0,0,0,0,0,0
45942,0,1,1,276,66,276,276,276.0,0.0,66,66,66.0,0.0,28126509.17647059,164482.50980392157,1.2159347534179688e-05,0.0,0,0,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,262,52,82241.25490196078,82241.25490196078,66,276,171.0,0.0,0.0,0,0,0,1,2,0,0,0,1.0,171.0,276.0,66.0,0,0,0,0,0,0,1,276,1,66,501,627,1,276,0,0,0,0,0,0,0,0
